x1,x2,x3,y1,y2,y3
-3.84121,-3.80747,-3.77219,-2.72924,-2.64036,-2.72826
-3.55758,-3.52391,-3.48856,-2.72929,-2.64036,-2.72822
-3.27415,-3.24058,-3.20513,-2.72936,-2.64037,-2.72816
-2.99098,-2.95753,-2.92197,-2.72945,-2.64038,-2.72809
-2.70814,-2.67486,-2.63913,-2.72957,-2.6404,-2.728
-2.43013,-2.39732,-2.36113,-2.45489,-2.36544,-2.45273
-2.14912,-2.11663,-2.08012,-2.45514,-2.36549,-2.45256
-1.86906,-1.83702,-1.80008,-2.45548,-2.36557,-2.45235
-1.59959,-1.56868,-1.53066,-2.18148,-2.09092,-2.17693
-1.30303,-1.27183,-1.23408,-2.73113,-2.64073,-2.72694
-1.01444,-0.98343,-0.94551,-3.0063,-2.91579,-3.00187
-0.73502,-0.70498,-0.66614,-3.00702,-2.91598,-3.00138
-0.44313,-0.413,-0.37425,-3.28187,-3.19088,-3.27635
-0.16191,-0.13274,-0.09309,-3.28254,-3.19104,-3.27583
0.13289,0.16294,0.20178,-3.55684,-3.46581,-3.55122
0.02088,0.01609,0.08058,-1.70368,-1.60504,-1.65932
0.70042,0.72975,0.76925,-3.55731,-3.4659,-3.55079
0.90891,0.91945,0.97429,-2.74478,-2.64687,-2.71641
1.25458,1.28102,1.32316,-3.28415,-3.19129,-3.2741
1.54024,1.56699,1.60885,-3.28393,-3.19122,-3.27425
1.82621,1.85339,1.89486,-3.28363,-3.19113,-3.27447
2.1123,2.13995,2.18099,-3.2833,-3.19103,-3.27473
2.39839,2.42653,2.46713,-3.28297,-3.19094,-3.27498
2.69598,2.72658,2.7649,-3.55645,-3.46572,-3.55151
2.98125,3.01212,3.05018,-3.55627,-3.46569,-3.55166
3.18559,3.19747,3.25135,-2.46879,-2.37113,-2.4419
3.48242,3.50158,3.54989,-2.46459,-2.36884,-2.44591
3.71233,3.73251,3.77999,-1.91732,-1.82192,-1.89984
-4.03285,-4.06696,-4.10187,1.42696,1.33831,1.42644
-4.10323,-4.06923,-4.03421,-3.20311,-3.11439,-3.20247
3.7847,3.8154,3.85362,-0.72321,-0.63254,-0.7184
3.86124,3.82832,3.79224,2.42226,2.33287,2.42023
3.64837,3.61557,3.57937,2.52791,2.43845,2.52574
3.36694,3.3345,3.29794,2.52818,2.4385,2.52554
3.10326,3.07238,3.03433,1.97947,1.8889,1.97488
2.80627,2.77496,2.73732,2.52902,2.43869,2.52497
2.51732,2.48607,2.44837,2.80404,2.71367,2.79991
2.23676,2.20627,2.16785,2.80466,2.71387,2.79958
1.9451,1.91434,1.87618,3.07941,2.98877,3.07467
1.66278,1.63262,1.59389,3.07983,2.98886,3.07434
1.73321,1.72309,1.66796,0.92409,0.82611,0.89526
1.08544,1.05469,1.01652,3.35437,3.26372,3.34961
1.29518,1.29509,1.23341,0.96266,0.86383,0.92321
0.54384,0.51724,0.47525,2.80721,2.71444,2.79736
0.25815,0.23128,0.18953,2.80702,2.71437,2.79748
0.22327,0.22665,0.16295,1.47209,1.37335,1.42913
-0.16673,-0.17295,-0.23075,1.72708,1.62857,1.69404
-0.60162,-0.63002,-0.67039,2.80591,2.71401,2.79825
-0.81696,-0.83592,-0.88439,1.98879,1.89299,1.9699
-1.14044,-1.16552,-1.20886,2.25867,2.16521,2.24699
-1.43176,-1.45853,-1.50037,2.25741,2.16472,2.24776
-1.7231,-1.75147,-1.79186,2.25622,2.1643,2.24852
-2.00006,-2.02924,-2.06889,1.98104,1.88954,1.97433
-2.29446,-2.32518,-2.36338,1.97978,1.88911,1.97499
-2.58767,-2.6195,-2.65664,1.9788,1.88877,1.9754
-2.87364,-2.90638,-2.94264,1.70313,1.61363,1.70088
-3.16595,-3.19922,-3.23496,1.70267,1.61349,1.70108
-3.45663,-3.49025,-3.52565,1.70237,1.61341,1.70123
-3.74602,-3.77988,-3.81504,1.70217,1.61336,1.70134
2.39646,2.3232,2.34775,-0.79038,-0.82144,-0.72774
2.88685,2.81315,2.87567,-0.89874,-0.86944,-0.81151
2.7617,2.73483,2.69308,0.38835,0.2957,0.37882
2.5591,2.53252,2.49051,0.38873,0.29594,0.37884
2.25182,2.22801,2.18357,0.42951,0.3355,0.4163
1.88487,1.81163,1.83611,-0.92705,-0.9582,-0.86447
1.10876,1.09194,1.04178,0.38816,0.29171,0.36681
-0.58773,-0.57166,-0.52092,-1.2371,-1.14043,-1.21489
0.01884,0.00728,-0.04682,0.52343,0.42571,0.49618
